Label,Sample_WT_P_1,Sample_WT_S_2,Sample_WT_P_3,Sample_WT_S_4,Sample_WT_P_5,Sample_WT_S_6,Sample_MU_P_7,Sample_MU_S_8,Sample_MU_P_9,Sample_MU_S_10,Sample_MU_P_11,Sample_MU_S_12
502.1/3169,16972822,15739987,12729848,8332544,8505190,7657925,16450454,17052646,12650642,8848866,8794519,7132402
503.1/3169,4810844,4456402,3582621,2355995,2417542,2180179,4778155,4937144,3627364,2493545,2494471,2035940
504.1/3261,5356955,4880157,3711291,2088344,1771182,1663514,5937698,6314198,3232523,2281405,1958691,1564184
505.2/3261,1490180.4,1430487.1,1069985.8,591917.3,515065.7,474590.6,1665003.8,1773914.6,916982.5,636337.3,552504.5,448829.2
505.4/3740,98120.02,1429718.27,121434.74,126013.76,25072.34,35018.34,19510.23,623460.95,206049.98,81071.95,147567.69,171960.79
506.2/3395,4958427,4287224,4287024,2358940,2029891,1957168,5639064,5791283,3723911,2558316,2439061,1903921
507.2/3395,1492306.7,1282636.7,1250595.4,721120.3,640276.4,599263.9,1603957.1,1717794.3,1075706,748842.7,699999.5,446090.9
508.2/3529,40421850,37407863,31180104,20421456,20618866,18146963,43677358,45173156,31509861,21518578,21911294,17120653
508.1/3367,184972.18,162147.42,0,324339.06,666645.23,239634.07,321721.88,137559.57,104371.25,67382.85,288185.36,339151.27
508.3/3845,2226.58,2015836.24,0,68869.55,0,0,18160.87,195328.72,165625.96,60777.61,206123.1,154591.76
509.2/3529,11501354,10457527,8806212,5722395,5919454,5185408,12222713,12705949,8890656,6101089,6293692,4981964
510.2/3777,1800051,8684161,6453425,1874392,2452518,2067843,2384323,13562012,4418648,2924412,2717763,2239913
510.2/3530,3214977.52,0,0,1053566.63,1168207.27,1113472.83,3173146.63,77743.15,0,1178809.77,1244176.42,1030136.02
511.2/3777,540843.3,2459948.8,1873350.7,526870.1,727804,589466.7,703755.4,3944795.2,1254268.8,837436.4,755977.9,675114.4
512.3/2925,321916.96,2744626.01,237653.67,592109.12,82086.7,174057.13,269403.42,491984.36,128683.23,81623.64,278263,173705.47
513.3/3532,23661.78,461814.32,26574.21,75865.04,33143.19,29128.41,34689.62,45302.39,67386.97,64899.93,51812.45,69830.64
515.3/3423,46031.94,77974.58,72152.76,185065.98,72267.42,56627.96,27708.94,61037.26,71745.03,164627.77,83377.27,63797.37
517.2/2924,73778,428335.29,53816.98,91781.19,16975.21,17090.27,50999.17,41849.67,37330.19,11425.46,35264.39,22811.29
518.2/3423,901301.5,1211914.9,1259788.4,1089064.4,833408.7,551554.7,861712,896020.6,1159243.2,1015156.3,715896.9,671744.9
519/3733,3984.56,697415.67,0,40182.62,5823.96,0,59405.84,170072.22,50652.33,1461.56,64339.56,0
519.2/3421,277928.1,333393.2,354629.2,304954.9,219875.8,164113.2,266616.6,264078.9,325307,297117.2,207378.1,207513.5
520.2/3244,747574,719630.8,752952.5,648774,720775.3,735121.5,625703.5,764567.3,748703.4,836165.5,525815.4,782454.7
520.3/4137,143201.92,235753.16,247336.15,15475.58,23448.89,31425.43,140358.87,189084.86,159786.38,26943.46,9233.5,34677.36
521.2/3226,316419.2,261307.1,237604.4,213463.9,204511.1,215915.8,240532,234954.5,242881.4,271299.7,172363.6,240587.2
522.2/3408,15355129,14282159,13919592,16060744,15307288,15197916,14903708,13781716,13786705,15535818,15064828,15038667
522.3/3553,0,0,48798.55,19545.92,90385.45,84001.03,79636.54,0,223065.49,219206.26,378980.4,129495.45
523.2/3376,6247155,6052297,5345231,4665992,4483000,4504684,5820625,6056779,5103402,4667327,4297290,4458850
523.2/3443,4490686,4390355,4056526,3472354,3249434,3543390,4369192,4146011,4063380,3365962,3170222,2805897
524.2/3712,30259398,24143626,25558248,18530208,21509132,13700837,21262920,25771083,2742566,20685194,20468695,18468259
525.2/3720,8969329,7119784,7592427,5497724,6413463,4142023,6306345,7645210,6654378,6222587,6040802,5435343
526.1/3177,18285755,18101291,15464033,11084285,10534823,8653661,20886731,22176010,15196915,10999953,10564971,8877837
526.2/3725,1989462.7,1499603.9,1692971.9,1144360.1,1272025.8,856630.9,1413279.2,730303.8,726808.1,348467.8,510946.9,1105647.3
527.1/3178,5493534,5331956,4631746,3393948,3218986,2575173,6069048,6651032,4593730,3368801,3262004,2696805
527.3/3732,103279.6,1883395.4,428401.6,319426.6,169394,109165.3,106299.5,819568.6,404886.3,270613.7,250290.4,204578.9
528.1/3239,2292681.2,1942208.7,1475902.3,819135.1,678049.9,660516.1,2531824.4,2619153.6,1268857,905672.5,813021.5,578212.9
529.1/3242,700840,604379.5,454402.6,257960.5,211251.9,196928.6,758088.8,815045,403583.5,309385.4,234562.8,185252.5
530.2/3354,20771851,17944520,15174657,9541865,9300900,9471328,21616404,22168871,14164275,9985523,9767006,8308318
531.2/3354,6444674,5629492,4627131,2924721,2830861,2927312,6551976,6749949,4340520,3008565,2934544,2580991
532.2/3488,3416165.9,2821638.1,2683680,1201967.4,862777.4,669078.2,5061891.1,4887450.4,2196042.7,1109154.8,972781.7,613506
532.2/3353,1473749,1218999.4,960732.2,631348.7,580965.8,595262.5,1425010.1,1402574.9,915863.5,624894.9,618906.4,538391.3
532.3/3729,45093.32,1005711.86,11525.4,27771.1,159190.24,18228.23,70600.28,191150.5,45796.95,15396.36,44814.24,367478.69
533.2/3489,1058080,892119.6,835934.3,415531.1,278404.5,242518.2,1563205.3,1526934.7,661848.8,437741.7,316320.3,310287
533.3/3897,9476.83,59156.04,222776.19,67337.61,152282.33,208432.56,3711.16,5775.92,5641.68,1962.44,0,8986.19
534.2/3591,2558524.6,2094532.3,1856769.4,786136.6,670008.3,634951.9,2168827.1,2761014.2,1391468,853520.6,766481.2,556165.1
534.3/3861,227348.1,1598952.5,1045498.7,932904.8,1145940.9,1197762,122926.1,1097981.4,1153315.1,953893.2,1171077.9,1371976.8
535.2/3591,866274.4,663227.4,594251.2,272570.9,210969.3,216769.4,704656.3,882645.9,435525.6,280536.1,251104.1,108871.1
535.3/3860,76731.11,575083.63,432659.76,318793.1,352808.9,455217.5,74976.51,353389.64,461494.94,343019.34,479934.61,526349.36
535.4/3520,431006.04,839619.3,51407.12,161630.59,32099.8,25169.07,449265.61,233339.48,106077.13,46040.74,88224.32,111772.79
536/3926,3175.39,5075.12,480678.95,210974.04,139962.87,14369.32,1524.31,11613.45,25003.12,379791.67,97716.7,16471.63
536.2/3714,7608849,6678458,5219486,1914597,2338715,2237707,4689884,11134564,3746025,2421431,2594299,1948250
536.2/3571,0,91729.85,0,713206.12,876371.42,681516.66,0,0,65020.18,920010.47,1003120.21,0
537.1/3928,5186.41,4979.64,249568.99,110203.59,68842.04,8397.49,4283.41,12816.9,20762.08,222341.05,45068.87,15970.83
537.2/3571,182191,207737.7,309721.3,201809.4,261179.6,190053.1,140254.1,279336.1,211227.2,284329.9,304740,132672.3
537.2/3716,2370711.5,2162159,1564902.3,591917.3,712216.1,686987.5,1448402.6,3435601.1,1133252.4,742767.8,814693.9,638223.6
538.2/3501,29291.7,160652.17,245668.57,121245.38,27640.85,0,15689.19,20910.56,254784.81,251234.62,0,0
538.1/3931,100817.3,246050.42,243435.39,101693.22,0,0,191859.61,14434,5901.38,163954.54,13468.39,0
538.2/3721,517752,312606.6,247527.3,127253.6,118907.5,129139,319601.9,702854.8,142323,105386.2,101411.5,106751
538.3/4137,158885.63,222258.17,218424.01,11884.03,33739.74,40677.05,163577.29,194925.45,90577.02,39805.38,27875.78,73118.37
541/3728,0,592624.12,0,6005.13,0,3328.52,121987.42,155577.39,0,0,81448.86,12570.83
544.2/3212,3224455,2828155,2788005,2437817,2267362,2387388,3111679,3239416,2669600,2259497,1798416,2071922
544.1/3389,104050.17,15025.33,143469.96,32451.21,60093.44,0,253294.56,82100.51,85090.12,49123.78,35619.64,0
545.2/3209,1037062.5,938167.4,921067,777892.8,704007.2,749653.6,1004782.3,1073900,852403.4,725975.3,614618.5,660894.8
546.2/3206,1015901.38,714817.52,613978.93,448313.03,66822.78,44143.85,931739.93,837420.39,575493.15,442341.62,72266.84,51582.57
546.2/3699,581063.87,738016.34,673244.23,594184.6,65572.62,28712.1,49254.06,1056710.37,381666.86,583751.53,76672.64,46581.61
546.3/3015,476299.5,1160606.2,261316.6,246088.9,290779.7,529252.8,4004713.1,167685,995331.6,558458.7,656805.2,3130259.6
547.2/3015,181119.24,410589.82,148960.28,86917.79,104992.93,175559.73,1317802.58,104069.5,328355.49,184693.04,224353.45,1041625.92
548.1/3182,758915.8,769992.4,738224.3,641591.3,600716.7,515862.5,657275.9,636896.7,668067.4,596320.6,451062.4,502825.3
549.1/3179,173225.75,174165.64,220591.15,115027.08,162508.22,102376.89,159040.65,146825.86,150935.65,105692.05,88628.49,120108.31
549.4/3728,216157.26,2105563.89,221688.51,270311.29,33018.44,35078.99,252123.2,908156.04,310674.92,126904.21,237993.12,51248.27
549.3/4128,602193.22,356099.98,287086.95,79568.04,109779.49,161123.55,944461.19,413365.89,207236.2,29754.23,41821.58,165243.65
550.2/3656,6553123.2,7051389.9,5451625.6,2395663,609086.2,2995936.5,3360936.7,7089625.3,5451722.4,3362932.4,3277277.7,1102907.7
551.2/3656,2174851.2,2279251.9,1768703.5,1159191.5,149947.6,1001139,1053232.5,2310002.6,1760017.9,1101438.5,1082383.7,435906.2
552.1/3359,373539,244905.5,281164,148608.4,237708.44,333635.82,232185.86,89299.18,478935.56,41591.26,80863.45,179348.89
552.2/4056,22286.62,25017.45,1089588.82,1178731.1,1390504.99,283124.46,24701.35,8297.43,1181370.69,1383960.23,801089.28,889999.04
552.3/3830,496456.08,3343973.29,178981.33,115731.74,136027.11,89971.35,568338.81,442038.51,230788.03,134392.56,331846.08,387465.32
554.1/3213,0,125869.78,457554.36,389644.38,323073.46,203635.99,34105.87,347643.22,26012.89,408094.1,369031.42,166970.18
554.2/3342,368484.1,191726.6,247829.9,190255.1,119312.3,133256.2,394694.1,239440.1,218758.9,175305.8,129583.5,116095.3
555.1/3213,15787.34,47004.44,191690.59,68394.31,56323.52,76895.5,5403.56,214823.94,11625.72,69195.6,147515.54,27132.95
556.2/3445,329320.25,228418.88,150507.5,73231.21,44398.8,21881.73,352192,356716.81,131667.63,58890.64,47074.51,32797.48
556.3/2914,297420.43,2346051.41,227810.12,563493.97,56475.6,174975.49,237945.08,523208.96,124019.99,66282.09,239761.66,175342.77
557.3/2913,198372.73,758154.11,46599.68,195362.4,16988.35,61752.71,99118.68,170070.94,3949.3,23213.13,38923.38,38181.9
557.4/3513,164180.72,1176247.35,120797.53,228162.16,19130.41,56760.42,138021.23,319202.62,116473.88,70883.54,90184.43,124070.6
558.2/3532,478131.8,376767,319508.5,237221.7,207943.3,196542.1,462254.3,433107.4,338304,232198.9,194246.2,188117.9
558.2/3389,80018.79,87196.1,314872.11,219182.54,252868.14,165063.1,59542.08,235864.57,129358.4,275705.07,310054.63,159092.82
559.2/3391,22613.25,34213.99,106633.75,86501.18,84898.78,49436.53,27320.86,87921.87,46455.72,93621.57,99975.56,45488.79
559.2/3534,153144.68,124682,83968.48,60610.41,67040.57,58184.63,140376.01,153221.36,121371.91,62086.04,61299.42,46250.55
560.2/3646,338370.36,279364.34,177430.9,77880.66,55029.09,43779.59,110292.99,346637.99,146659.29,85325.77,66746.83,39408.9
561.2/3646,111999.94,72766.46,68762.22,0,10433.69,2051.3,14881.06,131454.24,6128.61,2755.27,4793.55,4493.49
562.2/3431,163595.43,30998.31,25953.52,36500.61,139936.26,147471.72,131295.95,84740.03,22368.7,55003.32,66838.64,144061.47
563/3719,35171.31,532369.06,59220.5,51757.3,6381.46,1261.22,100043.56,151826.5,80414.4,14669.22,78597.77,49261.51
564.2/3462,495463.9,528828.5,403730.5,310207.5,373670.9,319110.7,483380.9,561867.1,531539.6,483456.9,364380.9,389259
564.4/4139,157684.25,218525.65,227250.83,41436.3,50245.57,75596.05,137587.37,148000.83,201694.31,56841.51,41548.98,98766.57
564.3/3877,100541.3,215725.8,389919.8,154809.3,155622.8,151447.2,231250.3,633756.2,278991.9,191111.8,163623.5,132758
565.2/3460,179734.78,117170.52,145338.47,122022.28,92879.26,48220.33,164573,200163.36,214969.36,172161.25,48854.81,83077.84
566.2/3581,721879.1,180065.3,330110.4,398129.6,864560.7,731744.8,759720.6,695894.6,344389.7,557875.9,627906.7,632278.4
567.2/3580,268941.35,70459.53,90979.3,103287.74,274791.93,219015.67,205113.44,224521.81,89900.29,190798.99,183673.77,144200.51
568.2/3214,3513595,3382320,3575867,3206214,2520927,2351740,4441771,5160646,3776656,2387020,1723110,2083725
568.3/3619,327280,1822905.5,181116.1,118455.6,166357,104334.6,166288.6,245649.8,228253.7,99104.8,296017.6,550424.9
569.2/3217,1176918.7,1169376,1238845.2,1084158,885024.4,769184.2,1498906.6,1718575.1,1305691.9,844783.5,590152,704089.8
569.3/3619,135591.48,613761.4,81690.25,39594.85,63009.36,40850.24,53213.39,78086.03,93720.16,56091.11,117895.09,191801.16
569.8/2920,0,638431.71,623133.87,157088.44,0,1484.57,0,0,110686.96,0,1058,0
570.2/3211,205973.9,232350.9,354455.9,725809.9,474538.6,154042.2,349524.7,363812.7,398045.5,301688.7,253018.2,110979.2
570.1/3103,1108794.95,1107333.58,124563.74,11396.05,4487.38,0,1485427.07,2055392.81,963487.97,14672.6,6650.66,1389.61
570.4/3514,189817.53,0,15058.33,9592.48,103484.87,42893.49,80854.25,24166.8,32624.06,26334.82,99991.92,923648.63
571.1/3108,371991.74,358175.76,259076,596.97,912.87,4137.12,485556.22,662069.31,326378.64,2695.25,6088.37,11056.64
571.4/3720,172301.95,2219742.24,264564.82,259821.47,37652.02,86854.03,83754.09,814670.82,304004.38,173383.32,242164.97,85536.64
572.2/3672,212129.49,1007070.95,187286.96,1930.36,77638.3,93593.07,0,1304439.1,0,12913.9,3877.75,156074.32
572.2/3403,323601.4,322391.1,369754.1,274460.3,278056.7,328882.5,308131.3,415906.7,337915.3,314015.5,283352,287626.7
572.8/2920,0,181887.23,172153.89,237799.54,0,0,0,0,752.64,0,0,0
573.2/3404,109852.84,86581.11,105593.06,90522.73,106757.58,114065.88,104338.55,143399.26,121220.6,85290.86,104508.93,105759.14
575.4/4126,351862.94,366191.42,125848.78,20397.56,35083.05,39668.29,533351.85,394006.5,126529.53,29763.73,18194.11,41726.19
576.3/2860,313926.29,379595.2,42271.26,54031.09,67899.24,45247.32,588883.9,143282.13,110578.97,97970.4,365961.16,298524.11
576.4/3718,22610.77,635178.09,50905.66,34873.15,54137.69,38563.34,14870.81,110628.56,17964.51,9069.65,31546.12,4683.99
578.3/3941,12591.68,2081580.35,501358.9,130060.82,23649.7,257209.57,0,43450.17,622064.95,13832.7,40617.58,52955.22
578.3/3841,2033592.77,966805.68,589139.52,242965.72,160041.56,44221.98,1949132.05,986891.32,534009.17,400878.16,162569.32,119493.39
579.1/2791,1602404.5,852780.5,1279959.5,401807.2,970436.2,701159.3,1757125.9,876060.4,707584.3,450329.1,659396.4,707023.2
579.4/3510,191052.5,1572160.4,187855.54,352386.36,72984.45,28617.96,176720.8,349901.25,190138.79,96021.44,154232.78,247472.49
580.1/2792,549471.19,325727.54,469956.82,57377.25,351453.62,260395.8,637791.54,322001.88,250390.44,41333.33,171472.53,261686.78
580.2/3389,375029.3,169122.6,212356.6,216397.4,630636.8,283133.5,571668.4,407624.7,302588.7,457511.9,541321.2,537119.3
580.2/3581,421946.5,131434.5,178092.2,237191.6,539466.4,426974.4,469043.7,421423.8,131578.4,379293.3,402913.2,400313.8
584.2/3375,182064.72,131423.72,24397.87,15271.23,25514.64,7760.38,142677.55,106383.7,177368.3,22815.16,16247.28,215198.64
584.4/3505,20796.74,279786.01,35657.1,48589.74,0,2206.77,57963.6,30981.07,33637.51,9881.81,4983.4,0
585/3715,4079.47,420505.27,22928.3,67678.43,2340.12,2441.19,6293.6,117488.2,88232.95,3938.16,47924.76,0
590.2/3213,70909.05,279821.98,204573.05,199358.98,29526.31,180332.32,58505.45,262258.57,196557.39,139367.95,22768.89,45433.71
590.3/3003,463223.6,1450836.1,388183.8,211669.2,285201.6,558531.5,4560396.4,269910.5,1110252.3,558365.6,767925.7,3588515.9
591.3/3003,175453.07,523337.29,138598.44,72627.76,106684.65,191229.36,1576633.19,98015.95,404658.12,199088.55,264940.88,1287256.49
592.1/3108,173415.24,151219.3,101071.02,9966.31,4735.76,4710.96,222796.86,219072.29,132374.43,5025.35,1046.01,7056.55
592.2/3676,0,14643.89,0,7314.03,235165.39,198975.67,0,281505.94,0,36278.38,0,162015.23
592.4/3509,228098.48,0,25433.42,0,106611.37,64764.45,73248.46,13504.72,68675.88,31352.26,162782.7,1043939.4
593/3501,78066.15,284133.58,40023.37,35192.31,44990.11,49865.59,42675.67,54366.53,14465.51,17646.53,30669.21,0
593.4/3712,223720.86,2446358.71,213074.57,425769.74,79095.26,114716.45,54635.63,780080.99,329582.87,154498.37,255909.58,336012.98
594.2/3395,131760.5,34337.7,112116.15,115931.08,210326.15,82438.44,203990.89,133577.87,164900.07,218016.31,167997.87,264677.63
594.3/3613,574791.94,486174.02,164187.37,37571.19,689400,247692.55,174773,73233.44,197940.02,62201.76,573244.92,2634209.14
595.3/3613,234262.3,339975.43,64736.47,31034.37,276909.61,99991.16,69389.49,33398.74,93361,27418.35,256556.99,1041407.32
595.2/3004,178436.86,264081.39,32464.2,1966.94,53462.31,54687.3,857615.44,45023.44,195758.33,57987.59,89848.23,311351.31
596/3715,28944.36,381904.35,65769.92,61369.3,0,1283.04,0,100700.35,47342.49,0,52713.48,0
596.3/3815,195519.46,4482351.44,273204.87,161920.11,171784.27,137865.6,27689.63,620204.7,293010.81,142623.14,473434.14,511236.05
597.3/3816,67248.65,1671423.26,104149.97,66215.79,67707.45,53252.36,27990.32,230637.9,124673.31,59829.39,180230.29,206925.51
598.4/3708,62397.11,592732.1,51683.75,43868.52,27062.8,14579.01,67663.65,93591.09,45866.8,33155.04,55230.02,24019.6
599.3/4070,678979.63,49344.45,292794.29,15550.91,8377.18,18546.22,982519.52,953871.45,109637.96,14123.67,15187.84,51311.58